target_id	length	eff_length	est_counts	tpm
ENST00000632684.1	12	13	0	0
ENST00000434970.2	9	10	0	0
ENST00000448914.1	13	14	0	0
ENST00000415118.1	8	9	0	0
ENST00000631435.1	12	13	0	0
ENST00000390583.1	31	32	0	0
ENST00000390577.1	37	38	0	0
ENST00000451044.1	17	18	0	0
ENST00000390578.1	31	32	0	0
ENST00000390572.1	28	29	0	0
ENST00000632859.1	21	22	0	0
ENST00000632524.1	11	12	0	0
ENST00000390590.1	31	32	0	0
ENST00000390588.1	20	21	0	0
ENST00000431870.1	16	17	0	0
ENST00000431440.2	16	17	0	0
ENST00000390575.1	20	21	0	0
ENST00000390571.1	31	32	0	0
ENST00000437320.1	19	20	0	0
ENST00000390569.1	20	21	0	0
ENST00000390591.1	31	32	0	0
ENST00000414852.1	16	17	0	0
ENST00000390585.1	31	32	0	0
ENST00000390581.1	23	24	0	0
ENST00000390580.1	21	22	0	0
ENST00000390574.1	21	22	0	0
ENST00000452198.1	18	19	0	0
ENST00000604838.1	17	18	0	0
ENST00000454691.1	18	19	0	0
ENST00000430425.1	17	18	0	0
ENST00000390584.1	31	32	1.5	4.43385
ENST00000454908.1	17	18	0	0
ENST00000632542.1	18	19	0	0
ENST00000632968.1	17	18	0	0
ENST00000603935.1	31	32	0	0
ENST00000604446.1	23	24	0	0
ENST00000605284.1	17	18	0	0
ENST00000632963.1	20	21	0	0
ENST00000604950.1	31	32	0	0
ENST00000450276.1	17	18	0	0
ENST00000390567.1	20	21	0	0
ENST00000439842.1	11	12	0	0
ENST00000633353.1	31	32	0	0
ENST00000631884.1	17	18	0	0
ENST00000633210.1	17	18	0	0
ENST00000631803.1	31	32	0	0
ENST00000603326.1	19	20	0	0
ENST00000604102.1	31	32	0	0
ENST00000603693.1	19	20	0	0
ENST00000633504.1	31	32	0	0
ENST00000634154.1	16	17	0	0
ENST00000631895.1	23	24	0	0
ENST00000632473.1	31	32	0	0
ENST00000633009.1	20	21	0	0
ENST00000603077.1	31	32	0	0
ENST00000632609.1	31	32	0	0
ENST00000632619.1	28	29	0	0
ENST00000633765.1	31	32	0	0
ENST00000633030.1	19	20	0	0
ENST00000632911.1	31	32	1.5	4.43385
ENST00000631871.1	20	21	0	0
ENST00000633010.1	16	17	0	0
ENST00000604642.1	23	24	0	0
ENST00000633379.1	37	38	0	0
ENST00000633159.1	21	22	0	0
ENST00000634085.1	16	17	0	0
ENST00000634070.1	18	19	0	0
ENST00000633968.1	20	21	0	0
ENST00000632304.1	17	18	0	0
ENST00000390396.1	347	80.4438	9	10.5825
ENST00000390400.2	364	60.5732	2.5	3.90391
ENST00000621184.1	411	68.7526	0	0
ENST00000390372.3	350	78.6399	0	0
ENST00000390369.2	347	80.4438	0	0
ENST00000390468.1	336	81.4195	3	3.48524
ENST00000390424.2	348	79.1041	1	1.19575
ENST00000390463.3	356	73.1455	0	0
ENST00000390440.2	425	80.3726	0	0
ENST00000390436.2	360	65.7714	2	2.87629
ENST00000390435.1	341	81.9955	47	54.2185
ENST00000631690.1	447	100.574	1	0.940489
ENST00000633466.1	413	70.4103	1.5	2.01509
ENST00000611462.1	368	55.7461	0	0
ENST00000612787.1	347	80.4438	0	0
ENST00000390451.2	409	67.0664	0	0
ENST00000390371.3	388	52.0077	0	0
ENST00000390363.2	390	52.9713	0	0
ENST00000390448.3	406	64.6654	0	0
ENST00000422143.2	402	61.3552	1.5	2.31249
ENST00000390398.3	381	50.038	0	0
ENST00000390378.1	343	82.2878	0	0
ENST00000454561.2	544	197.211	0	0
ENST00000390360.3	365	59.6238	0	0
ENST00000390425.2	519	172.211	1	0.549262
ENST00000390423.2	402	61.3552	1	1.54166
ENST00000619103.1	344	82	0	0
ENST00000616518.1	421	77.0717	0	0
ENST00000390361.3	397	57.2751	0	0
ENST00000390353.2	401	60.5786	0	0
ENST00000390357.3	373	51.8592	0	0
ENST00000390458.3	469	122.25	0	0
ENST00000390457.2	425	80.3726	0	0
ENST00000417977.2	447	100.574	1	0.940489
