target_id	length	eff_length	est_counts	tpm
ENST00000632684.1	12	8	0	0
ENST00000434970.2	9	5	0	0
ENST00000448914.1	13	9	0	0
ENST00000415118.1	8	4	0	0
ENST00000631435.1	12	8	0	0
ENST00000390583.1	31	27	0	0
ENST00000390577.1	37	26.8	0	0
ENST00000451044.1	17	13	0	0
ENST00000390578.1	31	27	0	0
ENST00000390572.1	28	24	0	0
ENST00000632859.1	21	17	0	0
ENST00000632524.1	11	7	0	0
ENST00000390590.1	31	27	0	0
ENST00000390588.1	20	16	0	0
ENST00000431870.1	16	12	0	0
ENST00000431440.2	16	12	0	0
ENST00000390575.1	20	16	0	0
ENST00000390571.1	31	27	0	0
ENST00000437320.1	19	15	0	0
ENST00000390569.1	20	16	0	0
ENST00000390591.1	31	27	0	0
ENST00000414852.1	16	12	0	0
ENST00000390585.1	31	27	0	0
ENST00000390581.1	23	19	0	0
ENST00000390580.1	21	17	0	0
ENST00000390574.1	21	17	0	0
ENST00000452198.1	18	14	0	0
ENST00000604838.1	17	13	0	0
ENST00000454691.1	18	14	0	0
ENST00000430425.1	17	13	0	0
ENST00000390584.1	31	27	0	0
ENST00000454908.1	17	13	0	0
ENST00000632542.1	18	14	0	0
ENST00000632968.1	17	13	0	0
ENST00000603935.1	31	27	0	0
ENST00000604446.1	23	19	0	0
ENST00000605284.1	17	13	0	0
ENST00000632963.1	20	16	0	0
ENST00000604950.1	31	27	0	0
ENST00000450276.1	17	13	0	0
ENST00000390567.1	20	16	0	0
ENST00000439842.1	11	7	0	0
ENST00000633353.1	31	27	0	0
ENST00000631884.1	17	13	0	0
ENST00000633210.1	17	13	0	0
ENST00000631803.1	31	27	0	0
ENST00000603326.1	19	15	0	0
ENST00000604102.1	31	27	0	0
ENST00000603693.1	19	15	0	0
ENST00000633504.1	31	27	0	0
ENST00000634154.1	16	12	0	0
ENST00000631895.1	23	19	0	0
ENST00000632473.1	31	27	0	0
ENST00000633009.1	20	16	0	0
ENST00000603077.1	31	27	0	0
ENST00000632609.1	31	27	0	0
ENST00000632619.1	28	24	0	0
ENST00000633765.1	31	27	0	0
ENST00000633030.1	19	15	0	0
ENST00000632911.1	31	27	0	0
ENST00000631871.1	20	16	0	0
ENST00000633010.1	16	12	0	0
ENST00000604642.1	23	19	0	0
ENST00000633379.1	37	26.8	0	0
ENST00000633159.1	21	17	0	0
ENST00000634085.1	16	12	0	0
ENST00000634070.1	18	14	0	0
ENST00000633968.1	20	16	0	0
ENST00000632304.1	17	13	0	0
ENST00000390396.1	347	88.5555	0	0
ENST00000390400.2	364	72.6475	0	0
ENST00000621184.1	411	89.7101	0	0
ENST00000390372.3	350	85.5272	0	0
ENST00000390369.2	347	88.5555	0	0
ENST00000390468.1	336	96.6956	0	0
ENST00000390424.2	348	86.5125	0	0
ENST00000390463.3	356	78.979	0	0
ENST00000390440.2	425	100.801	0	0
ENST00000390436.2	360	74.8534	0	0
ENST00000390435.1	341	96.7916	0	0
ENST00000631690.1	447	120.893	0	0
ENST00000633466.1	413	91.2288	0	0
ENST00000611462.1	368	71.3937	0	0
ENST00000612787.1	347	88.5555	0	0
ENST00000390451.2	409	88.3471	0	0
ENST00000390371.3	388	75.5755	0	0
ENST00000390363.2	390	76.8503	0	0
ENST00000390448.3	406	86.5107	0	0
ENST00000422143.2	402	84.4392	0	0
ENST00000390398.3	381	72.4903	0	0
ENST00000390378.1	343	94.3831	0	0
ENST00000454561.2	544	217.479	4.5	1.34206
ENST00000390360.3	365	72.5196	0	0
ENST00000390425.2	519	192.499	0	0
ENST00000390423.2	402	84.4392	0	0
ENST00000619103.1	344	93.296	0	0
ENST00000616518.1	421	97.1023	0	0
ENST00000390361.3	397	80.9432	0	0
ENST00000390353.2	401	83.7248	0	0
ENST00000390357.3	373	70.905	0	0
ENST00000390458.3	469	142.574	0	0
ENST00000390457.2	425	100.801	0	0
ENST00000417977.2	447	120.893	0	0
ENST00000614171.1	374	70.994	0	0
ENST00000390376.2	341	96.7916	0	0
ENST00000390375.2	384	74.0028	0.5	0.438228
ENST00000390374.3	392	78.0723	0	0
ENST00000390373.2	344	93.296	0	0
ENST00000390368.2	410	89.0573	0	0
ENST00000426318.2	395	79.7171	0	0
ENST00000390367.3	364	72.6475	0	0
ENST00000632512.1	455	128.682	2.5	1.26009
ENST00000535880.2	425	100.801	0	0
ENST00000390464.2	353	81.3701	0	0
ENST00000390465.2	395	79.7171	0	0
ENST00000390460.1	327	101.236	0	0
ENST00000390455.3	537	210.479	0	0
ENST00000390453.1	343	94.3831	0	0
ENST00000617639.1	406	86.5107	0	0
ENST00000390447.3	467	140.574	4	1.84559
ENST00000617347.1	406	86.5107	0	0
ENST00000390431.3	338	96.253	0	0
ENST00000390394.3	413	91.2288	12	8.53154
ENST00000390467.3	317	101.875	0	0
ENST00000390450.3	464	137.601	0	0
ENST00000390449.3	343	94.3831	0	0
ENST00000390444.1	329	100.895	0	0
ENST00000390442.3	399	82.2745	0	0
ENST00000390438.2	469	142.574	5	2.27462
ENST00000632829.1	411	89.7101	0	0
ENST00000390397.2	381	72.4903	0	0
ENST00000390362.1	343	94.3831	0	0
ENST00000390381.3	652	325.375	0	0
ENST00000390399.3	387	75.0337	2	1.72883
ENST00000611520.1	428	103.365	0	0
ENST00000390364.3	412	90.371	0	0
ENST00000390441.2	394	79.2914	0	0
ENST00000632432.1	406	86.5107	0	0
ENST00000557168.1	337	96.2157	0	0
ENST00000390456.3	341	96.7916	0	0
ENST00000634605.1	394	79.2914	0	0
ENST00000634383.1	424	99.8415	0	0
ENST00000390392.3	455	128.682	2.5	1.26009
ENST00000390454.2	403	85.2353	0	0
ENST00000390452.2	365	72.5196	0	0
ENST00000621643.1	102	15.3333	0	0
ENST00000620569.1	409	88.3471	0	0
ENST00000611787.1	392	78.0723	0	0
ENST00000390377.1	347	88.5555	0	0
ENST00000390466.1	331	99.7936	9	5.84949
ENST00000390461.2	349	86.0801	0	0
ENST00000390446.3	440	114.119	0	0
ENST00000390443.3	561	234.479	0	0
