target_id	length	eff_length	est_counts	tpm
ENST00000632684.1	12	13	0	0
ENST00000434970.2	9	10	0	0
ENST00000448914.1	13	14	0	0
ENST00000415118.1	8	9	0	0
ENST00000631435.1	12	13	0	0
ENST00000390583.1	31	5	0	0
ENST00000390577.1	37	11	0	0
ENST00000451044.1	17	18	0	0
ENST00000390578.1	31	5	0	0
ENST00000390572.1	28	6	0	0
ENST00000632859.1	21	22	0	0
ENST00000632524.1	11	12	0	0
ENST00000390590.1	31	5	0	0
ENST00000390588.1	20	21	0	0
ENST00000431870.1	16	17	0	0
ENST00000431440.2	16	17	0	0
ENST00000390575.1	20	21	0	0
ENST00000390571.1	31	5	0	0
ENST00000437320.1	19	20	0	0
ENST00000390569.1	20	21	0	0
ENST00000390591.1	31	5	0	0
ENST00000414852.1	16	17	0	0
ENST00000390585.1	31	5	0	0
ENST00000390581.1	23	1	0	0
ENST00000390580.1	21	22	0	0
ENST00000390574.1	21	22	0	0
ENST00000452198.1	18	19	0	0
ENST00000604838.1	17	18	0	0
ENST00000454691.1	18	19	0	0
ENST00000430425.1	17	18	0	0
ENST00000390584.1	31	5	0	0
ENST00000454908.1	17	18	0	0
ENST00000632542.1	18	19	0	0
ENST00000632968.1	17	18	0	0
ENST00000603935.1	31	5	0	0
ENST00000604446.1	23	1	0	0
ENST00000605284.1	17	18	0	0
ENST00000632963.1	20	21	0	0
ENST00000604950.1	31	5	0	0
ENST00000450276.1	17	18	0	0
ENST00000390567.1	20	21	0	0
ENST00000439842.1	11	12	0	0
ENST00000633353.1	31	5	0	0
ENST00000631884.1	17	18	0	0
ENST00000633210.1	17	18	0	0
ENST00000631803.1	31	5	0	0
ENST00000603326.1	19	20	0	0
ENST00000604102.1	31	5	0	0
ENST00000603693.1	19	20	0	0
ENST00000633504.1	31	5	0	0
ENST00000634154.1	16	17	0	0
ENST00000631895.1	23	1	0	0
ENST00000632473.1	31	5	0	0
ENST00000633009.1	20	21	0	0
ENST00000603077.1	31	5	0	0
ENST00000632609.1	31	5	0	0
ENST00000632619.1	28	6	0	0
ENST00000633765.1	31	5	0	0
ENST00000633030.1	19	20	0	0
ENST00000632911.1	31	5	0	0
ENST00000631871.1	20	21	0	0
ENST00000633010.1	16	17	0	0
ENST00000604642.1	23	1	0	0
ENST00000633379.1	37	11	0	0
ENST00000633159.1	21	22	0	0
ENST00000634085.1	16	17	0	0
ENST00000634070.1	18	19	0	0
ENST00000633968.1	20	21	0	0
ENST00000632304.1	17	18	0	0
ENST00000390396.1	347	56.4521	1.5	2.39884
ENST00000390400.2	364	72.8405	5.5	6.8168
ENST00000621184.1	411	118.454	0	0
ENST00000390372.3	350	59.3755	0	0
ENST00000390369.2	347	56.4521	0	0
ENST00000390468.1	336	45.9408	2	3.93027
ENST00000390424.2	348	57.4231	10	15.7219
ENST00000390463.3	356	65.1716	4	5.54105
ENST00000390440.2	425	132.442	0	0
ENST00000390436.2	360	69.0432	8	10.4607
ENST00000390435.1	341	50.6801	3	5.34409
ENST00000631690.1	447	154.4	2.5	1.46179
ENST00000633466.1	413	120.454	22	16.4889
ENST00000611462.1	368	76.6515	0	0
ENST00000612787.1	347	56.4521	0	0
ENST00000390451.2	409	116.454	1	0.775237
ENST00000390371.3	388	95.6128	1	0.944224
ENST00000390363.2	390	97.5357	0	0
ENST00000390448.3	406	113.454	0	0
ENST00000422143.2	402	109.454	6.5	5.36131
ENST00000390398.3	381	88.9343	0	0
ENST00000390378.1	343	52.5851	0	0
ENST00000454561.2	544	251.323	3	1.07765
ENST00000390360.3	365	73.8035	0	0
ENST00000390425.2	519	226.323	0	0
ENST00000390423.2	402	109.454	4	3.29927
ENST00000619103.1	344	53.5418	0	0
ENST00000616518.1	421	128.442	0	0
ENST00000390361.3	397	104.475	0	0
ENST00000390353.2	401	108.454	2	1.66484
ENST00000390357.3	373	81.3249	5	5.55056
ENST00000390458.3	469	176.4	4	2.04716
ENST00000390457.2	425	132.442	0	0
