target_id	length	eff_length	est_counts	tpm
ENST00000632684.1	12	13	0	0
ENST00000434970.2	9	10	0	0
ENST00000448914.1	13	14	0	0
ENST00000415118.1	8	9	0	0
ENST00000631435.1	12	13	0	0
ENST00000390583.1	31	6	0	0
ENST00000390577.1	37	12	0.5	4.57235
ENST00000451044.1	17	18	0	0
ENST00000390578.1	31	6	0	0
ENST00000390572.1	28	3	0	0
ENST00000632859.1	21	22	0	0
ENST00000632524.1	11	12	0	0
ENST00000390590.1	31	6	0	0
ENST00000390588.1	20	21	0	0
ENST00000431870.1	16	17	0	0
ENST00000431440.2	16	17	0	0
ENST00000390575.1	20	21	0	0
ENST00000390571.1	31	6	0	0
ENST00000437320.1	19	20	0	0
ENST00000390569.1	20	21	0	0
ENST00000390591.1	31	6	0	0
ENST00000414852.1	16	17	0	0
ENST00000390585.1	31	6	0	0
ENST00000390581.1	23	24	0	0
ENST00000390580.1	21	22	0	0
ENST00000390574.1	21	22	0	0
ENST00000452198.1	18	19	0	0
ENST00000604838.1	17	18	0	0
ENST00000454691.1	18	19	0	0
ENST00000430425.1	17	18	0	0
ENST00000390584.1	31	6	0	0
ENST00000454908.1	17	18	0	0
ENST00000632542.1	18	19	0	0
ENST00000632968.1	17	18	0	0
ENST00000603935.1	31	6	0	0
ENST00000604446.1	23	24	0	0
ENST00000605284.1	17	18	0	0
ENST00000632963.1	20	21	0	0
ENST00000604950.1	31	6	0	0
ENST00000450276.1	17	18	0	0
ENST00000390567.1	20	21	0	0
ENST00000439842.1	11	12	0	0
ENST00000633353.1	31	6	0	0
ENST00000631884.1	17	18	0	0
ENST00000633210.1	17	18	0	0
ENST00000631803.1	31	6	0	0
ENST00000603326.1	19	20	0	0
ENST00000604102.1	31	6	0	0
ENST00000603693.1	19	20	0	0
ENST00000633504.1	31	6	0	0
ENST00000634154.1	16	17	0	0
ENST00000631895.1	23	24	0	0
ENST00000632473.1	31	6	0	0
ENST00000633009.1	20	21	0	0
ENST00000603077.1	31	6	0	0
ENST00000632609.1	31	6	0	0
ENST00000632619.1	28	3	0	0
ENST00000633765.1	31	6	0	0
ENST00000633030.1	19	20	0	0
ENST00000632911.1	31	6	0	0
ENST00000631871.1	20	21	0	0
ENST00000633010.1	16	17	0	0
ENST00000604642.1	23	24	0	0
ENST00000633379.1	37	12	0.5	4.57235
ENST00000633159.1	21	22	0	0
ENST00000634085.1	16	17	0	0
ENST00000634070.1	18	19	0	0
ENST00000633968.1	20	21	0	0
ENST00000632304.1	17	18	0	0
ENST00000390396.1	347	58.5856	0	0
ENST00000390400.2	364	74.863	8	11.7266
ENST00000621184.1	411	120.891	0	0
ENST00000390372.3	350	61.4636	0	0
ENST00000390369.2	347	58.5856	0	0
ENST00000390468.1	336	47.9996	1	2.28619
ENST00000390424.2	348	59.5616	1	1.8424
ENST00000390463.3	356	67.2407	0	0
ENST00000390440.2	425	134.84	3	2.44147
ENST00000390436.2	360	71.0321	7	10.8142
ENST00000390435.1	341	52.759	0	0
ENST00000631690.1	447	156.826	0.5	0.349866
ENST00000633466.1	413	122.879	2.66667	2.38145
ENST00000611462.1	368	78.6934	0	0
ENST00000612787.1	347	58.5856	0	0
ENST00000390451.2	409	118.891	0	0
ENST00000390371.3	388	97.9736	1	1.12006
ENST00000390363.2	390	99.9439	0	0
ENST00000390448.3	406	115.891	0	0
ENST00000422143.2	402	111.903	2.5	2.4516
ENST00000390398.3	381	91.1617	0	0
ENST00000390378.1	343	54.6829	0	0
ENST00000454561.2	544	253.826	1	0.432329
ENST00000390360.3	365	75.8251	0	0
ENST00000390425.2	519	228.826	0	0
ENST00000390423.2	402	111.903	2	1.96128
ENST00000619103.1	344	55.6549	0	0
ENST00000616518.1	421	130.854	0	0
ENST00000390361.3	397	106.913	1	1.0264
ENST00000390353.2	401	110.903	0.5	0.494741
ENST00000390357.3	373	83.4228	1	1.31542
ENST00000390458.3	469	178.826	0	0
ENST00000390457.2	425	134.84	1	0.813824
